mcc,mccg,mccg_name
5941,10,Miscellaneous Stores
5943,10,Miscellaneous Stores
5944,10,Miscellaneous Stores
5945,10,Miscellaneous Stores
5946,10,Miscellaneous Stores
5949,10,Miscellaneous Stores
5950,10,Miscellaneous Stores
5962,10,Miscellaneous Stores
5963,10,Miscellaneous Stores
5964,10,Miscellaneous Stores
5971,10,Miscellaneous Stores
5972,10,Miscellaneous Stores
5973,10,Miscellaneous Stores
5976,10,Miscellaneous Stores
5977,10,Miscellaneous Stores
5978,10,Miscellaneous Stores
5983,10,Miscellaneous Stores
5993,10,Miscellaneous Stores
5994,10,Miscellaneous Stores
5996,10,Miscellaneous Stores
6012,10,Miscellaneous Stores
6300,10,Miscellaneous Stores
7211,10,Miscellaneous Stores
7216,10,Miscellaneous Stores
7221,10,Miscellaneous Stores
7278,10,Miscellaneous Stores
7296,10,Miscellaneous Stores
7297,10,Miscellaneous Stores
7333,11,Business Services
7338,11,Business Services
7361,11,Business Services
7372,11,Business Services
7393,11,Business Services
7394,11,Business Services
7395,11,Business Services
7399,11,Business Services
7512,11,Business Services
7523,11,Business Services
7542,11,Business Services
7631,11,Business Services
7832,11,Business Services
7922,11,Business Services
7929,11,Business Services
7993,11,Business Services
7994,11,Business Services
7996,11,Business Services
7998,11,Business Services
8211,12,Professional Services and Membership Organizations
8220,12,Professional Services and Membership Organizations
8244,12,Professional Services and Membership Organizations
8249,12,Professional Services and Membership Organizations
8299,12,Professional Services and Membership Organizations
8351,12,Professional Services and Membership Organizations
8398,12,Professional Services and Membership Organizations
8641,12,Professional Services and Membership Organizations
8661,12,Professional Services and Membership Organizations
8699,12,Professional Services and Membership Organizations
8911,12,Professional Services and Membership Organizations
9211,13,Government Services
9399,13,Government Services
9402,13,Government Services
9405,13,Government Services
5051,8,Retail Outlet Services
8675,12,Professional Services and Membership Organizations
5697,9,Clothing Stores
7261,10,Miscellaneous Stores
8049,12,Professional Services and Membership Organizations
1750,2,Contracted Services
3637,5,Lodging
3634,5,Lodging
7342,11,Business Services
8050,12,Professional Services and Membership Organizations
7217,10,Miscellaneous Stores
5021,8,Retail Outlet Services
5937,10,Miscellaneous Stores
5997,10,Miscellaneous Stores
3579,5,Lodging
3590,5,Lodging
3631,5,Lodging
3652,5,Lodging
3668,5,Lodging
3765,5,Lodging
3774,5,Lodging
4821,7,Utility Services
6051,10,Miscellaneous Stores
3742,5,Lodging
3553,5,Lodging
3650,5,Lodging
3654,5,Lodging
3662,5,Lodging
3695,5,Lodging
3716,5,Lodging
3721,5,Lodging
3745,5,Lodging
3782,5,Lodging
8734,12,Professional Services and Membership Organizations
1740,2,Contracted Services
4119,6,Transportation Services
3641,5,Lodging
3740,5,Lodging
7623,11,Business Services
1761,2,Contracted Services
2842,2,Contracted Services
3520,5,Lodging
3528,5,Lodging
3529,5,Lodging
3539,5,Lodging
3544,5,Lodging
3545,5,Lodging
3551,5,Lodging
3577,5,Lodging
3653,5,Lodging
3660,5,Lodging
3681,5,Lodging
3730,5,Lodging
3743,5,Lodging
3777,5,Lodging
3798,5,Lodging
5718,10,Miscellaneous Stores
7321,11,Business Services
3146,1,Airlines
3438,4,Car Rental
3519,5,Lodging
3526,5,Lodging
3569,5,Lodging
3595,5,Lodging
3719,5,Lodging
3731,5,Lodging
2791,2,Contracted Services
3549,5,Lodging
7534,11,Business Services
3635,5,Lodging
3659,5,Lodging
3523,5,Lodging
3788,5,Lodging
3538,13,Lodging
3599,13,Lodging
3678,13,Lodging
3707,13,Lodging
3738,13,Lodging
3783,13,Lodging
3293,1,Airlines
3572,5,Lodging
3266,1,Airlines
3573,5,Lodging
3038,1,Airlines
3717,5,Lodging
3724,5,Lodging
3069,1,Airlines
3079,1,Airlines
3174,1,Airlines
3245,1,Airlines
3248,1,Airlines
3260,1,Airlines
3607,5,Lodging
3608,5,Lodging
3609,5,Lodging
3614,5,Lodging
3619,5,Lodging
3621,5,Lodging
3807,5,Lodging
3822,5,Lodging
3829,5,Lodging
3831,5,Lodging
5816,10,Miscellaneous Stores
5818,10,Miscellaneous Stores
3068,1,Airlines
3183,1,Airlines
3236,1,Airlines
3521,5,Lodging
3576,5,Lodging
3617,5,Lodging
3795,5,Lodging
3800,5,Lodging
3802,5,Lodging
3826,5,Lodging
3828,5,Lodging
3506,13,Lodging
3508,13,Lodging
3512,13,Lodging
3516,13,Lodging
3517,13,Lodging
3519,13,Lodging
3528,13,Lodging
3542,13,Lodging
3543,13,Lodging
3548,13,Lodging
3553,13,Lodging
3562,13,Lodging
3572,13,Lodging
3577,13,Lodging
3579,13,Lodging
3581,13,Lodging
3583,13,Lodging
3591,13,Lodging
3640,13,Lodging
3659,13,Lodging
3660,13,Lodging
3662,13,Lodging
3672,13,Lodging
3690,13,Lodging
3693,13,Lodging
3695,13,Lodging
3698,13,Lodging
3710,13,Lodging
3721,13,Lodging
3730,13,Lodging
3745,13,Lodging
3751,13,Lodging
3770,13,Lodging
3778,13,Lodging
3779,13,Lodging
3780,13,Lodging
7011,13,Miscellaneous Stores
3514,13,Lodging
3523,13,Lodging
3526,13,Lodging
3539,13,Lodging
3544,13,Lodging
3558,13,Lodging
3561,13,Lodging
3564,13,Lodging
3573,13,Lodging
3575,13,Lodging
3584,13,Lodging
3592,13,Lodging
3623,13,Lodging
3653,13,Lodging
3657,13,Lodging
3658,13,Lodging
3661,13,Lodging
3663,13,Lodging
3681,13,Lodging
3694,13,Lodging
3708,13,Lodging
3723,13,Lodging
3726,13,Lodging
3728,13,Lodging
3729,13,Lodging
3737,13,Lodging
3742,13,Lodging
3743,13,Lodging
3747,13,Lodging
3772,13,Lodging
3774,13,Lodging
3777,13,Lodging
3785,13,Lodging
5960,14,Miscellaneous Stores
5962,14,Miscellaneous Stores
5963,14,Miscellaneous Stores
5964,14,Miscellaneous Stores
5965,14,Miscellaneous Stores
5968,14,Miscellaneous Stores
5969,14,Miscellaneous Stores
5712,15,Miscellaneous Stores
5714,15,Miscellaneous Stores
5722,15,Miscellaneous Stores
5734,15,Miscellaneous Stores
5931,15,Miscellaneous Stores
5940,15,Miscellaneous Stores
5941,15,Miscellaneous Stores
5942,15,Miscellaneous Stores
5943,15,Miscellaneous Stores
5946,15,Miscellaneous Stores
5949,15,Miscellaneous Stores
5950,15,Miscellaneous Stores
5975,15,Miscellaneous Stores
5976,15,Miscellaneous Stores
5978,15,Miscellaneous Stores
5992,15,Miscellaneous Stores
5994,15,Miscellaneous Stores
5996,15,Miscellaneous Stores
5997,15,Miscellaneous Stores
5998,15,Miscellaneous Stores
5999,15,Miscellaneous Stores
7210,16,Miscellaneous Stores
7216,16,Miscellaneous Stores
7221,16,Miscellaneous Stores
7251,16,Miscellaneous Stores
7276,16,Miscellaneous Stores
7278,16,Miscellaneous Stores
7296,16,Miscellaneous Stores
7299,16,Miscellaneous Stores
8021,17,Professional Services and Membership Organizations
8031,17,Professional Services and Membership Organizations
8041,17,Professional Services and Membership Organizations
8042,17,Professional Services and Membership Organizations
8049,17,Professional Services and Membership Organizations
8050,17,Professional Services and Membership Organizations
8099,17,Professional Services and Membership Organizations
8111,17,Professional Services and Membership Organizations
8351,17,Professional Services and Membership Organizations
8999,17,Professional Services and Membership Organizations
4829,24,Utility Services
6010,24,Miscellaneous Stores
6012,24,Miscellaneous Stores
5598,18,Retail Outlet Services
5621,18,Clothing Stores
5661,18,Clothing Stores
6211,18,Miscellaneous Stores
7230,18,Miscellaneous Stores
5933,19,Miscellaneous Stores
7273,19,Miscellaneous Stores
2741,20,Contracted Services
2791,20,Contracted Services
7531,21,Business Services
7535,21,Business Services
7538,21,Business Services
7549,21,Business Services
7622,21,Business Services
